In-House Name,Instances,Length,Matches TG-263,TG-263 suggestion,Reason,Structure Type,Rules
PHAR_CON_LOW,1,12,False,,,non-target,[]
PHAR_CON_MID,1,12,False,,,non-target,[]
PHAR_CON_SUP,1,12,False,,,non-target,[]
MANDIBLE,4,8,False,Bone_Mandible,,non-target,[]
SPINAL CORD,1,11,False,SpinalCord,symbols,non-target,[5]
SPINAL_CORD_PRV,3,15,False,,,non-target,[]
Density Override,48,16,False,,,non-target,[5]
Mandible,245,8,False,Bone_Mandible,,non-target,[]
TemporalLobe_R,223,14,False,,,non-target,[]
Brainstem_PRV5,217,14,False,,,non-target,[]
OpticNerve_R,227,12,False,,,non-target,[]
OpticNerve_L,227,12,False,,,non-target,[]
PAROTID_L_NOS,134,13,False,,nos,non-target,[]
SubmndSalv_R,186,12,False,,,non-target,[]
SpinalCord,258,10,True,,,non-target,[]
Esophagus_Upper,213,15,False,,,non-target,[]
PharCon_Inf,211,11,False,,,non-target,[]
PTV_ALL,185,7,False,,PTV/CTV/GTV,target,['TBD']
LARYNX_NOS,147,10,False,,nos,non-target,[]
OralCavity_NOS,144,14,False,,nos,non-target,[]
AVOID 56,120,8,False,,avoid,non-target,[5]
AVOID 60,126,8,False,,avoid,non-target,[5]
RING 56,131,7,False,,,non-target,[5]
RING 60,162,7,False,,,non-target,[5]
RING 70,116,7,False,,,non-target,[5]
MIDDLE AVOID,164,12,False,,avoid,non-target,[5]
POST AVOID,194,10,False,,avoid,non-target,[5]
SHOULDERS,187,9,False,,,non-target,[]
TemporalLobe_L,224,14,False,,,non-target,[]
BrachialPlexus_R,231,16,False,,,non-target,[]
BoneRadCalc,218,11,False,,,non-target,[]
PharCon_Sup,212,11,False,,,non-target,[]
BrachialPlexus_L,231,16,False,,,non-target,[]
PAROTID_R_NOS,176,13,False,,nos,non-target,[]
LUNG_L,194,6,False,Lung_L,casing,non-target,[4]
LUNG_R,194,6,False,Lung_R,casing,non-target,[4]
ESOPHAGUS_2CM,182,13,False,,,non-target,[]
PTV70+PTV60,70,11,False,,PTV/CTV/GTV,target,['TBD']
PTV60,179,5,False,,PTV/CTV/GTV,target,['TBD']
PTV56,146,5,False,,PTV/CTV/GTV,target,['TBD']
POST Avoid30,75,12,False,,avoid,non-target,[5]
SubmndSalv_L,192,12,False,,,non-target,[]
PharCon_Mid,210,11,False,,,non-target,[]
Thyroid,218,7,False,Cartlg_Thyroid,,non-target,[]
SpinalCord_PRV5,221,15,False,,,non-target,[]
Chiasm,235,6,False,OpticChiasm,,non-target,[]
OralCavity,246,10,False,,,non-target,[]
CTV60,188,5,False,,PTV/CTV/GTV,target,['TBD']
CTV70,127,5,False,,PTV/CTV/GTV,target,['TBD']
GTV70,15,5,False,,PTV/CTV/GTV,target,['TBD']
CARINA,187,6,False,Carina,casing,non-target,[4]
CTV56,157,5,False,,PTV/CTV/GTV,target,['TBD']
PTV70,122,5,False,,PTV/CTV/GTV,target,['TBD']
DENSITY_OVERIDE,13,15,False,,,non-target,[]
High-density,1,12,False,,,non-target,[]
OPTIC APP,6,9,False,,,non-target,[5]
OPTIC APP PRV,5,13,False,,,non-target,[5]
Frontal Avoid,1,13,False,,avoid,non-target,[5]
BoneSeg,12,7,False,,,non-target,[]
CTV60 FC,1,8,False,,PTV/CTV/GTV,target,['TBD']
PTV60 FC,1,8,False,,PTV/CTV/GTV,target,['TBD']
PTV60+PTV70,15,11,False,,PTV/CTV/GTV,target,['TBD']
Puititary,15,9,False,,,non-target,[]
GTVn,197,4,False,,PTV/CTV/GTV,target,['TBD']
CTVp,7,4,False,,PTV/CTV/GTV,target,['TBD']
POST Avoid 30,28,13,False,,avoid,non-target,[5]
Parotid R,10,9,False,,,non-target,[5]
BrainStem,49,9,False,Brainstem,casing,non-target,[4]
Submandibular R,10,15,False,,,non-target,[5]
Parotid L,10,9,False,,,non-target,[5]
ORAL CAVITY_NOS,40,15,False,,nos,non-target,[5]
AVOID 53.2,3,10,False,,avoid,non-target,[5]
RING AVOID,28,10,False,,avoid,non-target,[5]
Esophagus,26,9,True,,,non-target,[]
Submandibular L,10,15,False,,,non-target,[5]
PTV_56,5,6,False,,PTV/CTV/GTV,target,['TBD']
Dose 76[Gy],8,11,False,,,non-target,[5]
Dose 77[Gy],3,11,False,,,non-target,[5]
PATOTID_L_NOS,34,13,False,,nos,non-target,[]
GTVp,197,4,False,,PTV/CTV/GTV,target,['TBD']
CTV_70,2,6,False,,PTV/CTV/GTV,target,['TBD']
CTV_56,6,6,False,,PTV/CTV/GTV,target,['TBD']
PTV_70,5,6,False,,PTV/CTV/GTV,target,['TBD']
density override,2,16,False,,,non-target,[5]
GTV RT NECK,1,11,False,,PTV/CTV/GTV,target,['TBD']
CTV62 RT NECK,1,13,False,,PTV/CTV/GTV,target,['TBD']
MOD1 PTV62/30,1,13,False,,PTV/CTV/GTV,target,['TBD']
MOD1 PTV52/30,1,13,False,,PTV/CTV/GTV,target,['TBD']
MOD1 PTV60/30,1,13,False,,PTV/CTV/GTV,target,['TBD']
PTV ALL 30fx,1,12,False,,PTV/CTV/GTV,target,['TBD']
POST AVOID 30fx,1,15,False,,avoid,non-target,[5]
RING AVOID 30fx,1,15,False,,avoid,non-target,[5]
RING 52,1,7,False,,,non-target,[5]
RING 62,1,7,False,,,non-target,[5]
PTV70+PTV66,2,11,False,,PTV/CTV/GTV,target,['TBD']
CTV66,45,5,False,,PTV/CTV/GTV,target,['TBD']
PTV66,44,5,False,,PTV/CTV/GTV,target,['TBD']
PTV70+66+60,1,11,False,,PTV/CTV/GTV,target,['TBD']
AVOID 66,3,8,False,,avoid,non-target,[5]
RING 66,35,7,False,,,non-target,[5]
MOD1_CTV60,40,10,False,,PTV/CTV/GTV,target,['TBD']
MOD1_CTV56,34,10,False,,PTV/CTV/GTV,target,['TBD']
MOD1_CTV66,8,10,False,,PTV/CTV/GTV,target,['TBD']
MOD1_CTV70,34,10,False,,PTV/CTV/GTV,target,['TBD']
