In-House Name,Instances,Length,Matches TG-263,TG-263 suggestion,Reason,Structure Type,Rules
z_CavityOral_nos,2,16,False,,z,non-target,[]
z_Avoid56,4,9,False,,avoid,non-target,[]
z_Avoid60,3,9,False,,avoid,non-target,[]
z_Ring56,8,8,False,,z,non-target,[]
z_PostAvoid,4,11,False,,avoid,non-target,[]
Dose 51[Gy],1,11,False,,,non-target,[5]
Spinalcord_PRV5,3,15,False,,,non-target,[]
GTV P,2,5,False,,PTV/CTV/GTV,target,['TBD']
CTV 70,1,6,False,,PTV/CTV/GTV,target,['TBD']
GTV N,2,5,False,,PTV/CTV/GTV,target,['TBD']
CTV 60,3,6,False,,PTV/CTV/GTV,target,['TBD']
60P,1,3,False,,,non-target,[]
Residual Node,1,13,False,,,non-target,[5]
CTV 70 N,2,8,False,,PTV/CTV/GTV,target,['TBD']
CTV 60 Nodes,1,12,False,,PTV/CTV/GTV,target,['TBD']
PTV 70,1,6,False,,PTV/CTV/GTV,target,['TBD']
PTV 60,1,6,False,,PTV/CTV/GTV,target,['TBD']
Chiasma_PRV,1,11,False,,,non-target,[]
Larynx_Nos,1,10,False,,nos,non-target,[]
ORALCAVITY_NOS,1,14,False,,nos,non-target,[]
POST AVOID 35,1,13,False,,avoid,non-target,[5]
z_Avoid_69,1,10,False,,avoid,non-target,[]
z_BoneMandNOS,31,13,False,,z,non-target,[]
M1_PTV_7000-05,78,14,False,,PTV/CTV/GTV,target,['TBD']
M1_PTV!_6000-05,108,15,False,,PTV/CTV/GTV,target,['TBD']
M1_PTV!_5600-05,103,15,False,,PTV/CTV/GTV,target,['TBD']
z_remove 66,3,11,False,,z,non-target,[5]
z_remove 61.6,3,13,False,,z,non-target,[5]
CavityOral-PTV,3,14,False,,PTV/CTV/GTV,target,['TBD']
Larynx GSL,1,10,False,,,non-target,[5]
CTV 70 P,1,8,False,,PTV/CTV/GTV,target,['TBD']
CTV 60 P,1,8,False,,PTV/CTV/GTV,target,['TBD']
CTV 60 N,1,8,False,,PTV/CTV/GTV,target,['TBD']
PTV_6000,46,8,False,,PTV/CTV/GTV,target,['TBD']
parotid_L_NOS,1,13,False,,nos,non-target,[]
SUBM R_NOS,1,10,False,,nos,non-target,[5]
Unspecifie tissu,1,16,False,,,non-target,[5]
Oral cavity_NOS,1,15,False,,nos,non-target,[5]
New desnity,1,11,False,,,non-target,[5]
PTV ALLS,2,8,False,,PTV/CTV/GTV,target,['TBD']
INF AVOID,1,9,False,,avoid,non-target,[5]
MIDLINE AVOID,2,13,False,,avoid,non-target,[5]
PTV EVAL 8MM,1,12,False,,PTV/CTV/GTV,target,['TBD']
Brainstem_05,1,12,False,,,non-target,[]
LarnyxGSL,1,9,False,,,non-target,[]
Submandibula_L,1,14,False,,,non-target,[]
Submandibula_R,1,14,False,,,non-target,[]
PTV_7000_m08,1,12,False,,PTV/CTV/GTV,target,['TBD']
NonPTV,1,6,False,,PTV/CTV/GTV,target,['TBD']
LN_Neck_2347AB_L,16,16,False,,,non-target,[]
LN_Neck_2347AB_R,16,16,False,,,non-target,[]
LN_Neck_IA,15,10,False,LN_Neck_IA_L,,non-target,[]
LN_Neck_R1,10,10,False,,,non-target,[]
LN_Neck_V_L,16,11,True,,,non-target,[]
LN_Neck_V_R,16,11,True,,,non-target,[]
LN_Neck_VI,16,10,False,LN_Neck_VI_L,,non-target,[]
LN_Neck_IB_L,16,12,True,,,non-target,[]
LN_Neck_IB_R,16,12,True,,,non-target,[]
LN_Neck_L1,10,10,False,,,non-target,[]
z_BP_R_OS_MRG,27,13,False,,z,non-target,[]
z_BRAIN_LEV,53,11,False,,z,non-target,[]
z_ESO_NOS,148,9,False,,z,non-target,[]
z_MAND_OS_MRG,33,13,False,,z,non-target,[]
z_AVOID_MID_INF,66,15,False,,avoid,non-target,[]
z_AVOID66.0,101,11,False,,avoid,non-target,[]
z_AVOID66.0-HARD,93,16,False,,avoid,non-target,[]
z_BP_L_OS_MRG,25,13,False,,z,non-target,[]
z_REMOVE60.0-1,21,14,False,,z,non-target,[]
z_REMOVE35.0-1,62,14,False,,z,non-target,[]
AcqIsocenter,19,12,False,,,non-target,[]
InitLaserIso,19,12,False,,,non-target,[]
InitMatchIso,19,12,False,,,non-target,[]
zPTV6600+PTV6000,21,16,False,,PTV/CTV/GTV,target,['TBD']
z_ThyroidNOS,12,12,False,,z,non-target,[]
Dose 50[%],1,10,False,,,non-target,[5]
Dose 106[%],1,11,False,,,non-target,[5]
CT_BODY,6,7,False,,,non-target,[]
PTV_6000-05,92,11,False,,PTV/CTV/GTV,target,['TBD']
z_BoneMand_NOS,4,14,False,,z,non-target,[]
PTV!_5600-03,1,12,False,,PTV/CTV/GTV,target,['TBD']
OpticChiasm_PRV3,80,16,False,,,non-target,[]
OpticNrv_PRV03_L,77,16,False,,,non-target,[]
OpticNrv_PRV03_R,76,16,False,,,non-target,[]
z_PTV_All-03,1,12,False,,z,target,['TBD']
PTV!_6000-03,1,12,False,,PTV/CTV/GTV,target,['TBD']
PTV_6600-03,1,11,False,,PTV/CTV/GTV,target,['TBD']
M1_PTV_6600-05,27,14,False,,PTV/CTV/GTV,target,['TBD']
z_PTV_All-05,1,12,False,,z,target,['TBD']
z_Avoid_RT,2,10,False,,avoid,non-target,[]
z_Remove4,6,9,False,,z,non-target,[]
Dose 30[Gy],1,11,False,,,non-target,[5]
Dose 50[Gy],1,11,False,,,non-target,[5]
Dose 60[Gy],1,11,False,,,non-target,[5]
CTVn_60,3,7,False,,PTV/CTV/GTV,target,['TBD']
CTVp_60,3,7,False,,PTV/CTV/GTV,target,['TBD']
BODY NEW,1,8,False,,,non-target,[5]
BodyCBCT16Feb17,1,15,False,,,non-target,[]
BODY_CTsim,1,10,False,,,non-target,[]
z_Ring,29,6,False,,z,non-target,[]
Brainstem_PRV03,57,15,False,,,non-target,[]
zBrainlabSupport,13,16,False,,,non-target,[]
Lens_PRV03_R,20,12,False,,,non-target,[]
Lens_PRV03_L,20,12,False,,,non-target,[]
Hippocampus_R,24,13,True,,,non-target,[]
Hippocampus_L,24,13,True,,,non-target,[]
z_Dose 65[Gy],2,13,False,,z,non-target,[5]
z_ Cavity Or_Nos,1,16,False,,z,non-target,[5]
Glnd_Lacrimal_R,20,15,True,,,non-target,[]
z_ring avoid2,1,13,False,,avoid,non-target,[5]
Dose 53[Gy],1,11,False,,,non-target,[5]
Dose 52[Gy],1,11,False,,,non-target,[5]
Glnd_Lacrimal_L,20,15,True,,,non-target,[]
PPFossa,1,7,False,,,non-target,[]
BrachialPlex~_L,3,15,False,BrachialPlex_L,SB OK,non-target,[]
Esophagus~,2,10,False,Esophagus,SB OK,non-target,[]
Glnd_Thyroid~,2,13,False,Glnd_Thyroid,SB OK,non-target,[]
Dose 64.2[Gy],2,13,False,,,non-target,[5]
CTV_5000,1,8,False,,PTV/CTV/GTV,target,['TBD']
PTV_5000,1,8,False,,PTV/CTV/GTV,target,['TBD']
z_densityoverrid,8,16,False,,z,non-target,[]
GTV_Preop_2cm,1,13,False,,PTV/CTV/GTV,target,['TBD']
CTV_5400,46,8,False,,PTV/CTV/GTV,target,['TBD']
z_PTV_6600-05,1,13,False,,z,target,['TBD']
z_PTV_6000-05,3,13,False,,z,target,['TBD']
z_PTV_5400-05,1,13,False,,z,target,['TBD']
BrachialPlexus,4,14,False,,,non-target,[]
GTV_Preop,1,9,False,,PTV/CTV/GTV,target,['TBD']
Tumour Bed,2,10,False,,,non-target,[5]
Tumour Bed + 1cm,1,16,False,,,non-target,[5]
Tumour Bed+5mm,1,14,False,,,non-target,[5]
PTV_6600m08,4,11,False,,PTV/CTV/GTV,target,['TBD']
PTV_6000m08,4,11,False,,PTV/CTV/GTV,target,['TBD']
z_PARO_L_NOS_P1,1,15,False,,z,non-target,[]
z_PTV_All_P1,1,12,False,,z,target,['TBD']
z_Larynx_NOS_P1,1,15,False,,z,non-target,[]
z_AVOID59.4HARD,1,15,False,,avoid,non-target,[]
z_Ring_5400_P1,1,14,False,,z,non-target,[]
z_Ring_6000_P1,1,14,False,,z,non-target,[]
z_Ring_6600_P2,1,14,False,,z,non-target,[]
z_ESO_NOS_P1,1,12,False,,z,non-target,[]
PTV_5400,7,8,False,,PTV/CTV/GTV,target,['TBD']
E-PTVs-OARs,4,11,False,,PTV/CTV/GTV,target,['TBD']
PTV_6600,40,8,False,,PTV/CTV/GTV,target,['TBD']
z_REMOVE6.3-1,1,13,False,,z,non-target,[]
z_REMOVE6.5-1,1,13,False,,z,non-target,[]
OARpharynx,4,10,False,,,non-target,[]
z_REMOVE59.4-4,1,14,False,,z,non-target,[]
z_PARO_L_NOS_P2,1,15,False,,z,non-target,[]
z_LARYNX_NOS_P2,1,15,False,,z,non-target,[]
z_ORALCAV_NOS_P1,1,16,False,,z,non-target,[]
z_ORALCAV_NOS_P2,1,16,False,,z,non-target,[]
z_BP_OS_MARG_P1,1,15,False,,z,non-target,[]
z_BP_OS_MARG_P2,1,15,False,,z,non-target,[]
z_THYR_NOS_P1,1,13,False,,z,non-target,[]
z_PHARYNX_NOS_P1,1,16,False,,z,non-target,[]
z_PHARYNX_NOS_P2,1,16,False,,z,non-target,[]
z_NORMAL1_P1,1,12,False,,z,non-target,[]
z_AVOID59.4,8,11,False,,avoid,non-target,[]
z_NORMAL1_P2,1,12,False,,z,non-target,[]
z_NORMAL2_P1,1,12,False,,z,non-target,[]
z_NORMAL2_P2,1,12,False,,z,non-target,[]
z_NORMAL3_P1,1,12,False,,z,non-target,[]
z_NORMAL3_P2,1,12,False,,z,non-target,[]
z_RING105_P2,1,12,False,,z,non-target,[]
z_MNDIBLE_NOS_P1,1,16,False,,z,non-target,[]
z_MNDIBLE_NOS_P2,1,16,False,,z,non-target,[]
z_REMOVE59.4-1,2,14,False,,z,non-target,[]
z_REMOVE59.4-2,1,14,False,,z,non-target,[]
z_MIN_60.0-1,1,12,False,,z,non-target,[]
z_REMOVE59.4-3,1,14,False,,z,non-target,[]
PTV!_6000,24,9,False,,PTV/CTV/GTV,target,['TBD']
z_Both Parotids,1,15,False,,z,non-target,[5]
z_66Gy,1,6,False,,z,non-target,[]
M1_PTV!_6600-05,2,15,False,,PTV/CTV/GTV,target,['TBD']
M1_CTV_6600,34,11,False,,PTV/CTV/GTV,target,['TBD']
CTV_66,1,6,False,,PTV/CTV/GTV,target,['TBD']
z_Dose 107[%],13,13,False,,z,non-target,[5]
z_Dose 107[%]2,2,14,False,,z,non-target,[5]
z_66Gy_ModP,1,11,False,,z,non-target,[]
PTV!_6600-05,2,12,False,,PTV/CTV/GTV,target,['TBD']
z_Avoid_inf,1,11,False,,avoid,non-target,[]
z_Avoid_neck,1,12,False,,avoid,non-target,[]
z_Avoid_postsup,1,15,False,,avoid,non-target,[]
LNs,1,3,False,,,non-target,[]
z_Ring_66,5,9,False,,z,non-target,[]
z_AntSkin,26,9,False,,z,non-target,[]
SpinalCanal,11,11,True,,,non-target,[]
Constrictors,14,12,False,,,non-target,[]
Trachea,25,7,True,,,non-target,[]
z_thyroiod_NOS,2,14,False,,z,non-target,[]
z_Avoid_6600,4,12,False,,avoid,non-target,[]
z_bonemand_NOS,2,14,False,,z,non-target,[]
z_M1PTV6600+6000,5,16,False,,z,target,['TBD']
z_Remove 66,4,11,False,,z,non-target,[5]
Z_Dose 70[Gy],3,13,False,,z,non-target,[5]
z-Surgical Bed,1,14,False,,,non-target,[5]
z_Normal.3,1,10,False,,z,non-target,[]
z_PTV+PRV,1,9,False,,z,target,['TBD']
PTV!_Eval_6000,4,14,False,,PTV/CTV/GTV,target,['TBD']
z_tempPRV,1,9,False,,z,non-target,[]
PTV_Eval_6600,5,13,False,,PTV/CTV/GTV,target,['TBD']
z_Dose 62.7[Gy],2,15,False,,z,non-target,[5]
Eval^OpticApp,49,13,False,,,non-target,[]
Eval^OpticApPRV3,49,16,False,,,non-target,[]
z_Post neck Sup,1,15,False,,z,non-target,[5]
z_Temp RT opt,1,13,False,,z,non-target,[5]
z_Post neck,1,11,False,,z,non-target,[5]
z_PTV and chia,1,14,False,,z,target,['TBD']
PTV_Eval_6000-05,5,16,False,,PTV/CTV/GTV,target,['TBD']
PTV_Eval_7000-05,7,16,False,,PTV/CTV/GTV,target,['TBD']
z_Middle_Avo Sup,1,16,False,,z,non-target,[5]
z_Temp Chiasma,1,14,False,,z,non-target,[5]
z_PTV+Optic 54,1,14,False,,z,target,['TBD']
z_Chiasma+RT opt,1,16,False,,z,non-target,[5]
z_Optic 0.5,1,11,False,,z,non-target,[5]
z_Avoid_Postsup,1,15,False,,avoid,non-target,[]
z_Avoid_Post_INF,1,16,False,,avoid,non-target,[]
z_Avoid_POSTMID,1,15,False,,avoid,non-target,[]
OpticNrv_PRV_R,5,14,True,,,non-target,[]
Lens_R_PRV,4,10,False,,,non-target,[]
M1PTV_Eval_7000,1,15,False,,PTV/CTV/GTV,target,['TBD']
M1PTV_Eval_6000,1,15,False,,PTV/CTV/GTV,target,['TBD']
PTV!_5600,49,9,False,,PTV/CTV/GTV,target,['TBD']
z_THYROID_NOS,88,13,False,,z,non-target,[]
z_NORMAL1,8,9,False,,z,non-target,[]
z_BP_L_OS_MARG,19,14,False,,z,non-target,[]
z_MANDIBLE_OS_60,7,16,False,,z,non-target,[]
z_LIPS_NOS,27,10,False,,z,non-target,[]
z_REMOVE61.6-1,28,14,False,,z,non-target,[]
z_LIPS_OS_MRG_60,4,16,False,,z,non-target,[]
z_REMOVE61.6-2,21,14,False,,z,non-target,[]
z_REMOVE65.9-1,1,14,False,,z,non-target,[]
z_REMOVE61.6-3,10,14,False,,z,non-target,[]
z_REMOVE65.7-1,2,14,False,,z,non-target,[]
z_REMOVE61.6-4,4,14,False,,z,non-target,[]
z_REMOVE61.6-5,3,14,False,,z,non-target,[]
z_REMOVE65.8-1,1,14,False,,z,non-target,[]
z_REMOVE61.6-6,2,14,False,,z,non-target,[]
z_REMOVE61.6-7,1,14,False,,z,non-target,[]
z_BP_L_OS_MRG_66,1,16,False,,z,non-target,[]
z_MANDIBLE_OS_66,2,16,False,,z,non-target,[]
z_REMOVE66.0-1,38,14,False,,z,non-target,[]
z_REMOVE66.0-2,20,14,False,,z,non-target,[]
z_REMOVE66.0-3,11,14,False,,z,non-target,[]
z_REMOVE66.0-4,5,14,False,,z,non-target,[]
z_REMOVE66.0-5,3,14,False,,z,non-target,[]
z_REMOVE66.0-7,2,14,False,,z,non-target,[]
z_REMOVE71.7-1,1,14,False,,z,non-target,[]
z_REMOVE66.0-8,2,14,False,,z,non-target,[]
z_MAND_OS_MRG_66,17,16,False,,z,non-target,[]
z_ESO_OS_MRG_60,11,15,False,,z,non-target,[]
z_BP_L_OS_MRG_60,39,16,False,,z,non-target,[]
z_MIDDLEAVOID,7,13,False,,avoid,non-target,[]
z_avoid 45,6,10,False,,avoid,non-target,[5]
z_Remove66,14,10,False,,z,non-target,[]
z_Remove70,3,10,False,,z,non-target,[]
z_Body_Original,3,15,False,,z,non-target,[]
z_Body_CTsim,2,12,False,,z,non-target,[]
z_DensityTissue,1,15,False,,z,non-target,[]
z_shoulders,9,11,False,,z,non-target,[]
z_bone mand,1,11,False,,z,non-target,[5]
z_ring56,3,8,False,,z,non-target,[]
z_ring 60,2,9,False,,z,non-target,[5]
z_ ring 66,1,10,False,,z,non-target,[5]
z_60+66,1,7,False,,z,non-target,[]
Tumor bed,1,9,False,TumorBed,symbols,non-target,[5]
GTV-PREOP,1,9,False,,PTV/CTV/GTV,target,['TBD']
z_Shoulder,32,10,False,,z,non-target,[]
z_BRAIN_NOS,18,11,False,,z,non-target,[]
z_BRN_OS_MRG_60,1,15,False,,z,non-target,[]
BrainStem_05,3,12,False,,,non-target,[]
PTV_5400-05,4,11,False,,PTV/CTV/GTV,target,['TBD']
z_Ring_5400,46,11,False,,z,non-target,[]
z_Avoid_ant,3,11,False,,avoid,non-target,[]
z_PTV_600m08,2,12,False,,z,target,['TBD']
PTV_5400m08,3,11,False,,PTV/CTV/GTV,target,['TBD']
External-PTV,5,12,False,,PTV/CTV/GTV,target,['TBD']
z_Avoid_59.4,4,12,False,,avoid,non-target,[]
Z_BRAIN_OS,1,10,False,,z,non-target,[]
PTV!_5400-05,33,12,False,,PTV/CTV/GTV,target,['TBD']
ctv1,1,4,False,,,target,['TBD']
z_Avoid_5400,15,12,False,,avoid,non-target,[]
z_remove58.86,1,13,False,,z,non-target,[]
M1_CTV_5400,8,11,False,,PTV/CTV/GTV,target,['TBD']
M1_PTV!_5400-05,8,15,False,,PTV/CTV/GTV,target,['TBD']
M1_PTV_6000-05,15,14,False,,PTV/CTV/GTV,target,['TBD']
z_Dose 65.1[Gy],1,15,False,,z,non-target,[5]
z_Dose 64.2[Gy],2,15,False,,z,non-target,[5]
OralCavity-PTV,3,14,False,,PTV/CTV/GTV,target,['TBD']
Body-Bolus,18,10,False,,,non-target,[]
z_Avoid_Post INF,7,16,False,,avoid,non-target,[5]
z_Avoid_45,7,10,False,,avoid,non-target,[]
z_PTV_Flash,1,11,False,,z,target,['TBD']
M1_PTV!_5600,20,12,False,,PTV/CTV/GTV,target,['TBD']
z_cover70,32,9,False,,z,non-target,[]
z_cover56,31,9,False,,z,non-target,[]
z_rem61.6,2,9,False,,z,non-target,[]
z_107[%],3,8,False,,z,non-target,[]
M1_PTV_5600-05,2,14,False,,PTV/CTV/GTV,target,['TBD']
M2_PTV_7000-05,6,14,False,,PTV/CTV/GTV,target,['TBD']
M2_PTV_7000,6,11,False,,PTV/CTV/GTV,target,['TBD']
M2_CTV_7000,8,11,False,,PTV/CTV/GTV,target,['TBD']
M2_GTV,5,6,False,,PTV/CTV/GTV,target,['TBD']
z_normal2,2,9,False,,z,non-target,[]
z_25[%]remove,1,13,False,,z,non-target,[]
z_50[%]remove,1,13,False,,z,non-target,[]
z_ 106[%]remove,1,15,False,,z,non-target,[5]
z_cover70.1,1,11,False,,z,non-target,[]
z_normal1,2,9,False,,z,non-target,[]
Level_2-3_R,2,11,False,,,non-target,[]
Level_4_R,2,9,False,,,non-target,[]
Level_IB-2-3_L,2,14,False,,,non-target,[]
Level_4-5_L,2,11,False,,,non-target,[]
t_GTV,2,5,False,,PTV/CTV/GTV,target,['TBD']
n_GTV,2,5,False,,PTV/CTV/GTV,target,['TBD']
Level23R+123L,2,13,False,,,non-target,[]
t_CTV,2,5,False,,PTV/CTV/GTV,target,['TBD']
n_CTV,2,5,False,,PTV/CTV/GTV,target,['TBD']
t_PTV,2,5,False,,PTV/CTV/GTV,target,['TBD']
n_PTV,2,5,False,Colon_PTVxx,PTV/CTV/GTV,target,['TBD']
oropharynx_s,4,12,False,,,non-target,[]
PTV_60,5,6,False,,PTV/CTV/GTV,target,['TBD']
Level_RetroLR,2,13,False,,,non-target,[]
Level_LNs_60,2,12,False,,,non-target,[]
CTV_60,4,6,False,,PTV/CTV/GTV,target,['TBD']
New density,4,11,False,,,non-target,[5]
Shoulder_blk_L,4,14,False,,,non-target,[]
Shoulder_blk_R,4,14,False,,,non-target,[]
Grad70-60,2,9,False,,,non-target,[]
MOD1 CTV70,3,10,False,,PTV/CTV/GTV,target,['TBD']
MOD1 PTV70,3,10,False,,PTV/CTV/GTV,target,['TBD']
MOD1 CTV60,3,10,False,,PTV/CTV/GTV,target,['TBD']
MOD1 PTV60,3,10,False,,PTV/CTV/GTV,target,['TBD']
MOD1 CTV56,3,10,False,,PTV/CTV/GTV,target,['TBD']
MOD1 PTV56,3,10,False,,PTV/CTV/GTV,target,['TBD']
MOD1_PTV70+PTV60,17,16,False,,PTV/CTV/GTV,target,['TBD']
POST_Avoid,1,10,False,,avoid,non-target,[]
ORAL_CAVITY_NOS,1,15,False,,nos,non-target,[]
Avoid56,2,7,False,,avoid,non-target,[]
Avoid60,5,7,False,,avoid,non-target,[]
Dose 74.9[Gy],2,13,False,,,non-target,[5]
Mod1 PTV60opt,3,13,False,,PTV/CTV/GTV,target,['TBD']
Mod1 PTV56opt,3,13,False,,PTV/CTV/GTV,target,['TBD']
temp1,1,5,False,,,non-target,[]
temp2,2,5,False,,,non-target,[]
ptv_all,1,7,False,,,target,['TBD']
Ring70,2,6,False,,,non-target,[]
Ring60,2,6,False,,,non-target,[]
Ring56,2,6,False,,,non-target,[]
unit density,2,12,False,,,non-target,[5]
post_avoid1,2,11,False,,avoid,non-target,[]
inf_avoid,2,9,False,,avoid,non-target,[]
mid_avoid,3,9,False,,avoid,non-target,[]
face_avoid,2,10,False,,avoid,non-target,[]
lung_opt,2,8,False,,,non-target,[]
COUCH1,1,6,False,,,non-target,[]
COUCH,3,5,False,,,non-target,[]
MOD2 CTV56,1,10,False,,PTV/CTV/GTV,target,['TBD']
MOD2 CTV60,1,10,False,,PTV/CTV/GTV,target,['TBD']
MOD2 CTV70,1,10,False,,PTV/CTV/GTV,target,['TBD']
MOD2 PTV56,1,10,False,,PTV/CTV/GTV,target,['TBD']
MOD2 PTV60,1,10,False,,PTV/CTV/GTV,target,['TBD']
MOD2 PTV70,1,10,False,,PTV/CTV/GTV,target,['TBD']
Ring,4,4,False,,,non-target,[]
z_REMOVE-1,2,10,False,,z,non-target,[]
Skin05,4,6,False,,,non-target,[]
z_avoid66,3,9,False,,avoid,non-target,[]
z_mandible+0.1,1,14,False,,z,non-target,[]
z_MIDDLEVAOID,1,13,False,,z,non-target,[]
z_COVER,1,7,False,,z,non-target,[]
z_REMOVE66-1,1,12,False,,z,non-target,[]
z_Remove -61.6,1,14,False,,z,non-target,[5]
z_Dose 70.3[Gy],1,15,False,,z,non-target,[5]
z_BP_R_OS_MARG,26,14,False,,z,non-target,[]
z_MAND_OS_66_mrg,1,16,False,,z,non-target,[]
z_BP_L_OS_MRG_56,22,16,False,,z,non-target,[]
z_Avoid_5940,7,12,False,,avoid,non-target,[]
z_Avoid_66,17,10,False,,avoid,non-target,[]
z_Remove53.2,4,12,False,,z,non-target,[]
z_Remove45,18,10,False,,z,non-target,[]
z_Dose 70.4[Gy],1,15,False,,z,non-target,[5]
z_Ring_6300,24,11,False,,z,non-target,[]
z_ORALCAV_LEV,1,13,False,,z,non-target,[]
z_PHARYNX_LEV,1,13,False,,z,non-target,[]
z_RING,4,6,False,,z,non-target,[]
z_RING105,8,9,False,,z,non-target,[]
z_REMOVE15.0-1,1,14,False,,z,non-target,[]
z_Ring_105,2,10,False,,z,non-target,[]
z_REMOVE57.0-1,6,14,False,,z,non-target,[]
z_REMOVE64.2-1,13,14,False,,z,non-target,[]
z_COVER-1,4,9,False,,z,non-target,[]
z_RT_DNE,3,8,False,,z,non-target,[]
PTV!_5940,6,9,False,,PTV/CTV/GTV,target,['TBD']
PTV!_5610,2,9,False,,PTV/CTV/GTV,target,['TBD']
CTV_5940,6,8,False,,PTV/CTV/GTV,target,['TBD']
CTV_5610,2,8,False,,PTV/CTV/GTV,target,['TBD']
z_Avoid_5610,6,12,False,,avoid,non-target,[]
z_Remove16.5,1,12,False,,z,non-target,[]
z_Ring_5610,2,11,False,,z,non-target,[]
z_Ring_5940,7,11,False,,z,non-target,[]
zPTV6600+PTV5940,3,16,False,,PTV/CTV/GTV,target,['TBD']
z_Dose 69.3[Gy],1,15,False,,z,non-target,[5]
Dose 20[Gy],1,11,False,,,non-target,[5]
z_BraPlX_L_NOS,1,14,False,,z,non-target,[]
z_BraPlX_R_NOS,1,14,False,,z,non-target,[]
z_cover60,39,9,False,,z,non-target,[]
z_Remov66,1,9,False,,z,non-target,[]
z_remove45,1,10,False,,z,non-target,[]
z_constr_inf_nos,1,16,False,,z,non-target,[]
z_CTV_6000-05,2,13,False,,z,target,['TBD']
z_cover95,2,9,False,,z,non-target,[]
z_Temp_Opt,7,10,False,,z,non-target,[]
z_Temp_Brain,1,12,False,,z,non-target,[]
z_remove105,1,11,False,,z,non-target,[]
z_cover60 brain,1,15,False,,z,non-target,[5]
z_PTV and Optic,6,15,False,,z,target,['TBD']
z_PTV and Brain,1,15,False,,z,target,['TBD']
z_56out,3,7,False,,z,non-target,[]
BODY+FRAME,7,10,False,,,non-target,[]
GTVpre-op,1,9,False,,PTV/CTV/GTV,target,['TBD']
PTV_Eval_6000,13,13,False,,PTV/CTV/GTV,target,['TBD']
z_ptv eval,1,10,False,,z,target,['TBD']
z_coverbrain100,1,15,False,,z,non-target,[]
z_cover54,4,9,False,,z,non-target,[]
z_54push,1,8,False,,z,non-target,[]
z_cover60-5.2,1,13,False,,z,non-target,[]
z_60out,2,7,False,,z,non-target,[]
GTV primary,1,11,False,,PTV/CTV/GTV,target,['TBD']
z_CTV_ALL,1,9,False,,z,target,['TBD']
z_Remove64,1,10,False,,z,non-target,[]
z_cover66,10,9,False,,z,non-target,[]
z_ rem63.9[Gy],1,14,False,,z,non-target,[5]
z_lips_NOS,4,10,False,,z,non-target,[]
z_norm0.3,1,9,False,,z,non-target,[]
PTV_ Eval_6000,1,14,False,,PTV/CTV/GTV,target,['TBD']
z_remove 62,1,11,False,,z,non-target,[5]
CTV_5100,8,8,False,,PTV/CTV/GTV,target,['TBD']
PTV!_5100-05,4,12,False,,PTV/CTV/GTV,target,['TBD']
z_Avoid_5100,6,12,False,,avoid,non-target,[]
z_Ring_5100,7,11,False,,z,non-target,[]
z_thyroid_NOS,30,13,False,,z,non-target,[]
z_Remove15Gy,1,12,False,,z,non-target,[]
z_51.3out,1,9,False,,z,non-target,[]
z_48.45out,1,10,False,,z,non-target,[]
z_ 106.8[%],1,11,False,,z,non-target,[5]
zPTV6000+PTV5400,7,16,False,,PTV/CTV/GTV,target,['TBD']
z_mandible_NOS,5,14,False,,z,non-target,[]
GTVp-prechemo,1,13,False,,PTV/CTV/GTV,target,['TBD']
GTVn-prechemo,1,13,False,,PTV/CTV/GTV,target,['TBD']
GTVp-post chemo,1,15,False,,PTV/CTV/GTV,target,['TBD']
GTV p+n-pre-chem,1,16,False,,PTV/CTV/GTV,target,['TBD']
z_Remove56,7,10,False,,z,non-target,[]
z_Remove105,1,11,False,,z,non-target,[]
z_Remove20,1,10,False,,z,non-target,[]
z_PTV and op70,1,14,False,,z,target,['TBD']
z_Remove_60,1,11,False,,z,non-target,[]
z_remove_2,1,10,False,,z,non-target,[]
z_remove_hs,1,11,False,,z,non-target,[]
z_Rem10,1,7,False,,z,non-target,[]
z_Temp_op70,1,11,False,,z,non-target,[]
z-cover66.5,1,11,False,,,non-target,[]
z_sc45,1,6,False,,z,non-target,[]
z_man_NOS,2,9,False,,z,non-target,[]
PTV_Eval_7000,12,13,False,,PTV/CTV/GTV,target,['TBD']
z_Rbrach62Gy,1,12,False,,z,non-target,[]
z_larynxout45,1,13,False,,z,non-target,[]
z_45out eye,1,11,False,,z,non-target,[5]
z_Reye+PTV,1,10,False,,z,target,['TBD']
z_lips+PTV,1,10,False,,z,target,['TBD']
z_PTV_70test,1,12,False,,z,target,['TBD']
z_cover60.,3,10,False,,z,non-target,[]
z_rem67 eye,1,11,False,,z,non-target,[5]
z_45reyelower,1,13,False,,z,non-target,[]
z_ring mod,1,10,False,,z,non-target,[5]
z_test mod ptv,1,14,False,,z,target,['TBD']
Cavity_Oral-M1PT,1,16,False,,,non-target,[]
z_cover mod,1,11,False,,z,non-target,[5]
z_ 5[Gy],1,8,False,,z,non-target,[5]
z_rem50 l eye,1,13,False,,z,non-target,[5]
z_ mod80[%],1,11,False,,z,non-target,[5]
z_108[%],1,8,False,,z,non-target,[]
z_hs mod 4,1,10,False,,z,non-target,[5]
Z_HS 7,1,6,False,,z,non-target,[5]
z_hs6.1,1,7,False,,z,non-target,[]
z_mod6. 107.5[%],1,16,False,,z,non-target,[5]
z_eye_R_80%,1,11,False,,z,non-target,[]
z_lips80%,1,9,False,,z,non-target,[]
z_normal mod,1,12,False,,z,non-target,[5]
z_norm mod 80,1,13,False,,z,non-target,[5]
